dx_id,kk,ss,bb,pp,log10(period)
414,4,2,524261,2147483647,37.3
415,4,2,524277,2147483647,37.3
416,4,2,524279,2147483647,37.3
417,4,2,1047799,2147483647,37.3
418,4,2,1047877,2147483647,37.3
419,4,2,1047879,2147483647,37.3
420,4,2,1047882,2147483647,37.3
421,4,2,1047903,2147483647,37.3
422,4,2,1047931,2147483647,37.3
423,4,2,1047977,2147483647,37.3
424,4,2,1047990,2147483647,37.3
425,4,2,1048019,2147483647,37.3
426,4,2,1048036,2147483647,37.3
427,4,2,1048068,2147483647,37.3
428,4,2,1048086,2147483647,37.3
429,4,2,1048107,2147483647,37.3
430,4,2,1048111,2147483647,37.3
431,4,2,1048135,2147483647,37.3
432,4,2,1048143,2147483647,37.3
433,4,2,1048156,2147483647,37.3
434,4,2,1048192,2147483647,37.3
435,4,2,1048197,2147483647,37.3
436,4,2,1048201,2147483647,37.3
437,4,2,1048246,2147483647,37.3
438,4,2,1048256,2147483647,37.3
439,4,2,1048280,2147483647,37.3
440,4,2,1048285,2147483647,37.3
441,4,2,1048320,2147483647,37.3
442,4,2,1048328,2147483647,37.3
443,4,2,1048329,2147483647,37.3
444,4,2,1048371,2147483647,37.3
445,4,2,1048382,2147483647,37.3
446,4,2,1048394,2147483647,37.3
447,4,2,1048421,2147483647,37.3
448,4,2,1048433,2147483647,37.3
449,4,2,1048445,2147483647,37.3
450,4,2,1048471,2147483647,37.3
451,4,2,1048476,2147483647,37.3
452,4,2,1048492,2147483647,37.3
453,4,2,1048551,2147483647,37.3
454,4,2,1048555,2147483647,37.3
455,4,2,1048575,2147483647,37.3
456,5,1,523294,2147483647,46.7
457,5,1,523329,2147483647,46.7
458,5,1,523349,2147483647,46.7
459,5,1,523365,2147483647,46.7
460,5,1,523403,2147483647,46.7
461,5,1,523430,2147483647,46.7
462,5,1,523439,2147483647,46.7
463,5,1,523482,2147483647,46.7
464,5,1,523508,2147483647,46.7
465,5,1,523524,2147483647,46.7
466,5,1,523529,2147483647,46.7
467,5,1,523556,2147483647,46.7
468,5,1,523565,2147483647,46.7
469,5,1,523572,2147483647,46.7
